Cash,ratio of portfolio,interest,,,Bonds,ratio of portfolio,current price,Face value,years to maturity,annual coupon rate,frequency of coupon payment per year,,,Stocks,Ticker,ratio of portfolio
,0.25,0.0023,,,,0.05,920,1000,10,0.1,2,,,,AAPL,0.1
,,,,,,0.05,1200,1500,20,0.05,4,,,,TSLA,0.1
,,,,,,0.05,1900,2000,30,0.07,1,,,,DIS,0.1
,,,,,,0.05,2100,2500,20,0,0,,,,META,0.1
,,,,,,0.05,4000,5000,40,0.04,2,,,,GME,0.1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,1.356355731,0.180427165,0.144341732,0.8,,,,,,,
,,,,,,1.479118459,0.196757491,0.157405993,0.8,,,,,,,
,,,,,,1.293160212,0.172020677,0.137616542,0.8,,,,,,,
,,,,,,1.508609464,0.200680487,0.16054439,0.8,,,,,,,
,,,,,,1.880225752,0.25011418,0.200091344,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,7.517469619,,,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
,,,,,,,,,0.8,,,,,,,
